id,name,region,population,latitude,longitude,avg_rent_usd,climate_score,sea_score,internet_score,safety_score,ecology_score,infrastructure_score,description,pros,cons,attractions,transport_info,education_info,healthcare_info,job_info,monthly_budget_usd,suitable_for,relocation_summary
28,Севастополь,Севастополь,560000,44.6167,33.5254,470,8.7,10,8.2,7.2,6.2,8.0,Морской город с мягким климатом и историей,развитый рынок жилья; развитая инфраструктура; приятная городская среда; близость к морю или крупной воде,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; морские прогулки и пляжные зоны,"Севастополь связан с другими населенными пунктами региона Севастополь; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",890,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Севастополь стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
29,Томск,Томская область,560000,56.4846,84.9482,350,4.1,1,8.8,7.2,5.9,8.1,Университетский город Сибири,доступная аренда; развитая инфраструктура; хороший интернет для учебы и удаленной работы,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Томск связан с другими населенными пунктами региона Томская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",770,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Томск стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
30,Кемерово,Кемеровская область,550000,55.3547,86.0884,320,4.2,1,8.2,6.7,4.4,7.8,Промышленный центр Кузбасса,доступная аренда,есть экологические вопросы; стоит внимательнее выбирать район,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Кемерово связан с другими населенными пунктами региона Кемеровская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",740,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Кемерово стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
31,Набережные Челны,Республика Татарстан,540000,55.7436,52.3958,330,5.5,2,8.4,7.1,5.5,8.1,Крупный промышленный город на Каме,доступная аренда; развитая инфраструктура,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Набережные Челны связан с другими населенными пунктами региона Республика Татарстан; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",750,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Набережные Челны стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
32,Ставрополь,Ставропольский край,550000,45.0448,41.9690,350,7.8,4,8.5,7.4,6.5,8.1,Южный зеленый город с мягким климатом,доступная аренда; развитая инфраструктура; приятная городская среда; спокойные районы для жизни,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; парки и природные места рядом с городом,"Ставрополь связан с другими населенными пунктами региона Ставропольский край; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",770,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Ставрополь стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
33,Оренбург,Оренбургская область,540000,51.7682,55.0969,310,5.8,1,8.2,6.9,5.3,7.7,Город на границе Европы и Азии,доступная аренда,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Оренбург связан с другими населенными пунктами региона Оренбургская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",730,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Оренбург стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
34,Новокузнецк,Кемеровская область,540000,53.7575,87.1360,310,4.1,1,8.1,6.5,3.8,7.7,Крупный металлургический центр Кузбасса,доступная аренда,есть экологические вопросы; стоит внимательнее выбирать район,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Новокузнецк связан с другими населенными пунктами региона Кемеровская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",730,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Новокузнецк стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
35,Рязань,Рязанская область,530000,54.6292,39.7369,330,6.1,2,8.5,7.1,5.7,8.0,Исторический город недалеко от Москвы,доступная аренда; развитая инфраструктура,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Рязань связан с другими населенными пунктами региона Рязанская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",750,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Рязань стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
36,Балашиха,Московская область,520000,55.7963,37.9382,520,6.2,2,9.0,7.0,5.2,8.3,Крупный город ближнего Подмосковья,развитый рынок жилья; развитая инфраструктура; хороший интернет для учебы и удаленной работы,аренда выше среднего,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Балашиха связан с другими населенными пунктами региона Московская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",940,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Балашиха стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
37,Пенза,Пензенская область,500000,53.1950,45.0183,300,6.0,2,8.2,7.2,5.9,7.8,Спокойный город Поволжья с доступными ценами,доступная аренда,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Пенза связан с другими населенными пунктами региона Пензенская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",720,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Пенза стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
38,Липецк,Липецкая область,500000,52.6031,39.5708,310,6.3,2,8.2,6.9,5.0,7.7,Промышленный центр с развитой городской средой,доступная аренда,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Липецк связан с другими населенными пунктами региона Липецкая область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",730,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Липецк стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
39,Киров,Кировская область,470000,58.6035,49.6679,290,4.8,1,8.1,7.1,5.8,7.5,Город на Вятке с невысокой стоимостью жизни,доступная аренда,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Киров связан с другими населенными пунктами региона Кировская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",710,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Киров стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
40,Чебоксары,Чувашская Республика,490000,56.1439,47.2489,310,5.8,3,8.4,7.5,6.2,8.0,Уютный город на Волге с хорошей набережной,доступная аренда; развитая инфраструктура; приятная городская среда; спокойные районы для жизни,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; парки и природные места рядом с городом,"Чебоксары связан с другими населенными пунктами региона Чувашская Республика; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",730,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Чебоксары стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
41,Тула,Тульская область,470000,54.1930,37.6173,350,6.1,2,8.5,7.0,5.4,8.0,Исторический промышленный город рядом с Москвой,доступная аренда; развитая инфраструктура,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Тула связан с другими населенными пунктами региона Тульская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",770,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Тула стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
42,Калининград,Калининградская область,490000,54.7104,20.4522,460,6.8,9,8.7,7.4,6.4,8.4,Европейский по атмосфере город у Балтики,развитый рынок жилья; развитая инфраструктура; приятная городская среда; спокойные районы для жизни; близость к морю или крупной воде; хороший интернет для учебы и удаленной работы,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; морские прогулки и пляжные зоны,"Калининград связан с другими населенными пунктами региона Калининградская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",880,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Калининград стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
43,Курск,Курская область,440000,51.7304,36.1926,300,6.3,2,8.2,7.0,5.8,7.6,Город Центральной России с размеренным темпом,доступная аренда,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Курск связан с другими населенными пунктами региона Курская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",720,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Курск стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
44,Улан-Удэ,Республика Бурятия,440000,51.8345,107.5846,320,4.0,3,8.1,7.0,5.7,7.6,Город рядом с Байкалом и буддийской культурой,доступная аренда,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Улан-Удэ связан с другими населенными пунктами региона Республика Бурятия; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",740,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Улан-Удэ стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
45,Сочи,Краснодарский край,440000,43.5855,39.7231,650,9.2,10,8.7,7.1,6.7,8.6,Курортный город у Черного моря,развитый рынок жилья; развитая инфраструктура; приятная городская среда; близость к морю или крупной воде; хороший интернет для учебы и удаленной работы,аренда выше среднего,центральная площадь; городская набережная или главный парк; исторический центр; морские прогулки и пляжные зоны,"Сочи связан с другими населенными пунктами региона Краснодарский край; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",1170,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Сочи стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
46,Тверь,Тверская область,420000,56.8587,35.9176,330,5.7,3,8.4,7.0,5.8,7.8,Город между Москвой и Петербургом,доступная аренда,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Тверь связан с другими населенными пунктами региона Тверская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",750,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Тверь стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
47,Магнитогорск,Челябинская область,410000,53.4072,58.9791,290,4.7,1,8.0,6.5,3.9,7.4,Крупный металлургический город,доступная аренда,есть экологические вопросы; стоит внимательнее выбирать район,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Магнитогорск связан с другими населенными пунктами региона Челябинская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",710,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Магнитогорск стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
48,Иваново,Ивановская область,360000,57.0003,40.9739,280,5.4,2,8.0,7.0,5.5,7.3,Город текстильной истории и невысоких цен,доступная аренда,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Иваново связан с другими населенными пунктами региона Ивановская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",700,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Иваново стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
49,Брянск,Брянская область,380000,53.2521,34.3717,290,6.0,2,8.1,6.9,5.7,7.4,Зеленый город на западе Центральной России,доступная аренда,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Брянск связан с другими населенными пунктами региона Брянская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",710,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Брянск стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
50,Сургут,Ханты-Мансийский автономный округ,400000,61.2540,73.3962,520,3.2,1,8.9,7.5,5.5,8.4,Северный нефтегазовый центр с высокими доходами,развитый рынок жилья; развитая инфраструктура; спокойные районы для жизни; хороший интернет для учебы и удаленной работы,аренда выше среднего,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Сургут связан с другими населенными пунктами региона Ханты-Мансийский автономный округ; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",940,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Сургут стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
51,Владимир,Владимирская область,350000,56.1290,40.4070,320,5.8,2,8.3,7.3,6.0,7.8,Исторический город Золотого кольца,доступная аренда; приятная городская среда; спокойные районы для жизни,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; парки и природные места рядом с городом,"Владимир связан с другими населенными пунктами региона Владимирская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",740,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Владимир стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
